0013/2021-05-11/UG/V117/UFCD/0037344 /  0.04 /UG/CON/0/NOPR/NOPRO/UG0/2021-05-11/D/ /          215,052.68 /                0.00 /COP/0/N    /N/N/2021-05-11/1720/0018/0013/0018/0013/0072/2021-05-11/2021-05-11/0001-01-01/960002---------------------- ---NOPR-COP0          ------------------/517005060      /            /0013/0072/9600162902/        0.00 /O/                     /  0.01 /          /0013/0018/CE17279 /V117    /2021-05-11-17.20.37.000000/
0013/2021-05-11/UG/V117/UFCD/0037344 /  0.03 /UG/CON/0/INTE/INTER/UG0/2021-05-11/H/ /                0.00 /           43,805.66 /COP/0/N    /N/N/2021-05-11/1720/0018/0013/0018/0013/0072/2021-05-11/2021-05-11/0001-01-01/9600020041001M-------7433--- ---INTE-COP0          ------------------/160540570214   /            /0013/0072/9600162902/        0.00 /O/                     /  0.01 /          /0013/0018/CE17279 /V117    /2021-05-11-17.20.37.000000/
0013/2021-05-11/UG/V117/UFCD/0037344 /  0.02 /UG/CON/0/INTE/INTER/UG0/2021-05-11/H/ /                0.00 /          171,247.02 /COP/0/N    /N/N/2021-05-11/1720/0018/0013/0018/0013/0072/2021-05-11/2021-05-11/0001-01-01/9600020041001M-------7433--- ---INTE-COP0          ------------------/160540570214   /            /0013/0072/9600162902/        0.00 /O/                     /  0.01 /          /0013/0018/CE17279 /V117    /2021-05-11-17.20.37.000000/
0013/2021-05-11/UG/V117/UFCD/0037344 /  0.01 /UG/CON/0/ICCV/ICCVE/UG0/2021-05-11/H/ /                0.00 /          403,980.09 /COP/0/N    /N/S/2021-05-11/1720/0018/0013/0018/0013/0072/2021-05-11/2021-05-11/0001-01-01/960002---1001M-------7433--- ---ICCV-COP0          ------------------/643050570210   /            /0013/0072/9600162902/        0.00 /O/                     /  0.01 /          /0013/0018/CE17279 /V117    /2021-05-11-17.20.37.000000/
0013/2021-05-11/UG/V117/UFCD/0043383 /  0.03 /UG/CON/0/INTE/INTER/UG0/2021-05-11/H/ /                0.00 /        3,685,564.33 /COP/0/N    /N/N/2021-05-11/1749/0018/0013/0018/0013/0084/2021-05-11/2021-05-11/0001-01-01/9600010041001F-------3127--- ---INTE-COP0          ------------------/160520043214   /            /0013/0084/9600373026/        0.00 /O/                     /  0.01 /          /0013/0018/CE17279 /V117    /2021-05-11-17.49.33.000000/
0013/2021-05-11/UG/V117/UFCD/0043383 /  0.01 /UG/CON/0/GAST/GASTE/UG0/2021-05-11/H/ /                0.00 /        1,460,236.47 /COP/0/N    /N/N/2021-05-11/1749/0018/0013/0018/0013/0084/2021-05-11/2021-05-11/0001-01-01/9600010041001--------------- OTRGAST-COP0          ------------------/163705044140214/            /0013/0084/9600373026/        0.00 /O/                     /  0.01 /          /0013/0018/CE17279 /V117    /2021-05-11-17.49.33.000000/
0013/2021-05-11/UG/V117/UFCD/0043383 /  0.02 /UG/CON/0/ORDO/GASTE/UG0/2021-05-11/D/ /        1,460,236.47 /                0.00 /COP/0/N    /N/S/2021-05-11/1749/0018/0013/0018/0013/0084/2021-05-11/2021-05-11/0001-01-01/960001004-001--------------- ---ORDO-COP0          ------------------/828422101      /            /0013/0084/9600373026/        0.00 /O/                     /  0.01 /          /0013/0018/CE17279 /V117    /2021-05-11-17.49.33.000000/
0013/2021-05-11/UG/V117/UFCD/0043383 /  0.04 /UG/CON/0/NOPR/NOPRO/UG0/2021-05-11/D/ /        1,460,236.47 /                0.00 /COP/0/N    /N/N/2021-05-11/1749/0018/0013/0018/0013/0084/2021-05-11/2021-05-11/0001-01-01/960001---------------------- ---NOPR-COP0          ------------------/517005061      /            /0013/0084/9600373026/        0.00 /O/                     /  0.01 /          /0013/0018/CE17279 /V117    /2021-05-11-17.49.33.000000/
0013/2021-05-11/UG/V117/UFCD/0043383 /  0.05 /UG/CON/0/NOPR/NOPRO/UG0/2021-05-11/D/ /        3,685,564.33 /                0.00 /COP/0/N    /N/N/2021-05-11/1749/0018/0013/0018/0013/0084/2021-05-11/2021-05-11/0001-01-01/960001---------------------- ---NOPR-COP0          ------------------/517005061      /            /0013/0084/9600373026/        0.00 /O/                     /  0.01 /          /0013/0018/CE17279 /V117    /2021-05-11-17.49.33.000000/
0013/2021-05-11/UG/V117/UFCD/0045611 /  0.05 /UG/CON/0/NOPR/NOPRO/UG0/2021-05-11/D/ /       21,942,763.42 /                0.00 /COP/0/N    /N/N/2021-05-11/1802/0018/0013/0018/0013/0086/2021-05-11/2021-05-11/0001-01-01/960003---------------------- ---NOPR-COP0          ------------------/517005059      /            /0013/0086/9600219532/        0.00 /O/                     /  0.01 /          /0013/0018/CE17279 /V117    /2021-05-11-18.02.19.000000/
0013/2021-05-11/UG/V117/UFCD/0045611 /  0.01 /UG/CON/0/GAST/GASTE/UG0/2021-05-11/H/ /                0.00 /        1,250,598.00 /COP/0/N    /N/N/2021-05-11/1802/0018/0013/0018/0013/0086/2021-05-11/2021-05-11/0001-01-01/9600030011001--------------- OTRGAST-COP0          ------------------/163605044140201/            /0013/0086/9600219532/        0.00 /O/                     /  0.01 /          /0013/0018/CE17279 /V117    /2021-05-11-18.02.19.000000/
0013/2021-05-11/UG/V117/UFCD/0045611 /  0.02 /UG/CON/0/ORDO/GASTE/UG0/2021-05-11/D/ /        1,250,598.00 /                0.00 /COP/0/N    /N/S/2021-05-11/1802/0018/0013/0018/0013/0086/2021-05-11/2021-05-11/0001-01-01/960003001-001--------------- ---ORDO-COP0          ------------------/828122101      /            /0013/0086/9600219532/        0.00 /O/                     /  0.01 /          /0013/0018/CE17279 /V117    /2021-05-11-18.02.19.000000/
0013/2021-05-11/UG/V117/UFCD/0045611 /  0.04 /UG/CON/0/NOPR/NOPRO/UG0/2021-05-11/D/ /        1,250,598.00 /                0.00 /COP/0/N    /N/N/2021-05-11/1802/0018/0013/0018/0013/0086/2021-05-11/2021-05-11/0001-01-01/960003---------------------- ---NOPR-COP0          ------------------/517005059      /            /0013/0086/9600219532/        0.00 /O/                     /  0.01 /          /0013/0018/CE17279 /V117    /2021-05-11-18.02.19.000000/
0013/2021-05-11/UG/V117/UFCD/0045611 /  0.03 /UG/CON/0/INTE/INTER/UG0/2021-05-11/H/ /                0.00 /       21,942,763.42 /COP/0/N    /N/N/2021-05-11/1802/0018/0013/0018/0013/0086/2021-05-11/2021-05-11/0001-01-01/9600030011001F-------5599--- ---INTE-COP0          ------------------/160510553201   /            /0013/0086/9600219532/        0.00 /O/                     /  0.01 /          /0013/0018/CE17279 /V117    /2021-05-11-18.02.19.000000/
